GR,RHOB,ILD,SP,NPHI,Predicted_Fluid,FLUIDTYPES
77.943199158,-999.0,-999.0,88.919998169,-999.0,3.0,3.0
77.943199158,-999.0,-999.0,88.925201416,-999.0,3.0,3.0
77.943199158,-999.0,-999.0,88.930397034,-999.0,3.0,3.0
77.943199158,-999.0,-999.0,88.969497681,-999.0,3.0,3.0
77.943199158,-999.0,-0.056899998,89.614196777,-999.0,3.0,3.0
77.943199158,-999.0,-0.056400001,90.692199707,-999.0,3.0,3.0
77.943199158,-999.0,-0.056000002,89.487098694,-999.0,3.0,3.0
77.943199158,-999.0,-0.055500001,88.215896606,-999.0,3.0,3.0
77.943199158,-999.0,-0.055,85.884803772,-999.0,3.0,3.0
77.943199158,-999.0,-0.054499999,84.9897995,-999.0,3.0,3.0
77.943199158,-999.0,-0.054000001,84.773696899,-999.0,3.0,3.0
77.943199158,-999.0,-0.0535,85.348899841,-999.0,3.0,3.0
77.943199158,-999.0,-0.052999999,85.388397217,-999.0,3.0,3.0
77.943199158,-999.0,-0.0526,85.964401245,-999.0,3.0,3.0
77.943199158,-999.0,-0.052099999,85.969703674,-999.0,3.0,3.0
77.943199158,-999.0,-0.051600002,86.009300232,-999.0,3.0,3.0
77.943199158,-999.0,-0.051100001,86.618598938,-999.0,3.0,3.0
77.943199158,-999.0,-0.0506,87.263198853,-999.0,3.0,3.0
77.943199158,-999.0,-0.050099999,88.342300415,-999.0,3.0,3.0
77.943199158,-999.0,-0.049600001,87.227203369,-999.0,3.0,3.0
77.943199158,-999.0,-0.049199998,87.210197449,-999.0,3.0,3.0
77.943199158,-999.0,-0.048700001,87.181098938,-999.0,3.0,3.0
77.943199158,-999.0,-0.0482,86.582298279,-999.0,3.0,3.0
77.943199158,-999.0,-0.047699999,85.982597351,-999.0,3.0,3.0
77.943199158,-999.0,-0.047200002,85.417800903,-999.0,3.0,3.0
77.943199158,-999.0,-0.046700001,85.423103333,-999.0,3.0,3.0
77.943199158,-999.0,-0.0471,85.48500061,-999.0,3.0,3.0
77.943199158,-999.0,-0.060899999,86.490402222,-999.0,3.0,3.0
77.943199158,-999.0,-0.043000001,87.286102295,-999.0,3.0,3.0
77.943199158,-999.0,0.0458999984,88.001403809,-999.0,3.0,3.0
77.943199158,-999.0,0.9686999917,89.807998657,-999.0,3.0,3.0
77.943199158,-999.0,2.4177000523,81.400596619,-999.0,3.0,3.0
77.943199158,-999.0,4.3152999878,74.710700989,-999.0,3.0,3.0
77.943199158,-999.0,5.3873000145,73.207496643,-999.0,3.0,3.0
77.943199158,-999.0,7.6545000076,70.299102783,-999.0,3.0,3.0
77.943199158,-999.0,9.1122999191,69.10369873,-999.0,3.0,3.0
77.943199158,-999.0,9.0531997681,68.043701172,-999.0,3.0,3.0
77.943199158,-999.0,10.39109993,66.082603455,-999.0,3.0,3.0
77.943199158,-999.0,11.502400398,64.879898071,-999.0,3.0,3.0
77.943199158,-999.0,12.528699875,63.643203735,-999.0,3.0,3.0
77.943199158,-999.0,13.80039978,61.903701782,-999.0,3.0,3.0
77.943199158,-999.0,15.215900421,61.282501221,-999.0,3.0,3.0
