GR,RHOB,ILD,SP,NPHI
-999.0,-999.0,-999.0,0.7050999999,-999.0
-999.0,-999.0,-999.0,0.7362999916,-999.0
-999.0,-999.0,-999.0,0.7675999999,-999.0
-999.0,-999.0,-999.0,1.078099966,-999.0
-999.0,-999.0,-999.0,1.918900013,-999.0
-999.0,-999.0,-999.0,2.515599966,-999.0
-999.0,-999.0,-999.0,2.8320000172,-999.0
-999.0,-999.0,-999.0,3.3008000851,-999.0
-999.0,-999.0,-999.0,5.1367001534,-999.0
-999.0,-999.0,-999.0,9.6328001022,-999.0
-999.0,-999.0,-999.0,11.960900307,-999.0
-999.0,-999.0,-999.0,8.4218997955,-999.0
-999.0,-999.0,-999.0,3.0390999317,-999.0
-999.0,-999.0,-999.0,-0.002,-999.0
-999.0,-999.0,-999.0,-1.759799957,-999.0
-999.0,-999.0,-999.0,-2.165999889,-999.0
-999.0,-999.0,-999.0,-1.447299957,-999.0
-999.0,-999.0,-999.0,-0.197300002,-999.0
-999.0,-999.0,-999.0,1.7666000128,-999.0
-999.0,-999.0,-999.0,0.4492000043,-999.0
-999.0,-999.0,-999.0,-2.646500111,-999.0
-999.0,-999.0,-999.0,-4.64839983,-999.0
-999.0,-999.0,-999.0,-5.933599949,-999.0
-999.0,-999.0,-999.0,-6.558599949,-999.0
-999.0,-999.0,-999.0,-6.6875,-999.0
-999.0,-999.0,-999.0,-6.535200119,-999.0
-999.0,-999.0,-999.0,-6.16410017,-999.0
-999.0,-999.0,-999.0,-6.105500221,-999.0
-999.0,-999.0,-999.0,-6.234399796,-999.0
-999.0,-999.0,-999.0,-6.27339983,-999.0
-999.0,-999.0,-999.0,-6.371099949,-999.0
-999.0,-999.0,-999.0,-6.281300068,-999.0
-999.0,-999.0,-999.0,-6.378900051,-999.0
-999.0,-999.0,-999.0,-6.22660017,-999.0
-999.0,-999.0,-999.0,-5.949200153,-999.0
-999.0,-999.0,-999.0,-5.828100204,-999.0
-999.0,-999.0,-999.0,-6.242199898,-999.0
-999.0,-999.0,-999.0,-5.597700119,-999.0
-999.0,-999.0,-999.0,-4.734399796,-999.0
-999.0,-999.0,-999.0,-4.089799881,-999.0
-999.0,-999.0,-999.0,-3.662100077,-999.0
-999.0,-999.0,-999.0,-3.117199898,-999.0
-999.0,-999.0,-999.0,-2.601599932,-999.0
-999.0,-999.0,-999.0,-1.435500026,-999.0
-999.0,-999.0,-999.0,-0.804700017,-999.0
-999.0,-999.0,-999.0,-0.824199975,-999.0
-999.0,-999.0,-999.0,0.1933999956,-999.0
-999.0,-999.0,-999.0,0.2128999978,-999.0
-999.0,-999.0,-999.0,1.0742000341,-999.0
-999.0,-999.0,-999.0,1.0898000002,-999.0
-999.0,-999.0,-999.0,0.3632999957,-999.0
-999.0,-999.0,-999.0,0.134800002,-999.0
-999.0,-999.0,-999.0,-0.308600008,-999.0
-999.0,-999.0,-999.0,-0.101599999,-999.0
-999.0,-999.0,-999.0,-0.115199998,-999.0
-999.0,-999.0,-999.0,-0.470699996,-999.0
-999.0,-999.0,-999.0,-1.550799966,-999.0
-999.0,-999.0,-999.0,-2.441400051,-999.0
-999.0,-999.0,-999.0,-3.08010006,-999.0
-999.0,-999.0,-999.0,-3.246099949,-999.0
-999.0,-999.0,-999.0,-3.503900051,-999.0
-999.0,-999.0,-999.0,-4.074200153,-999.0
-999.0,-999.0,-999.0,-4.027299881,-999.0
-999.0,-999.0,-999.0,-3.822299957,-999.0
-999.0,-999.0,-999.0,-3.648400068,-999.0
-999.0,-999.0,-999.0,-2.664099932,-999.0
-999.0,-999.0,-999.0,-1.927700043,-999.0
-999.0,-999.0,-999.0,-0.283199996,-999.0
-999.0,-999.0,-999.0,0.6776999831,-999.0
-999.0,-999.0,-999.0,1.0429999828,-999.0
-999.0,-999.0,-999.0,2.2813000679,-999.0
-999.0,-999.0,-999.0,2.4570000172,-999.0
-999.0,-999.0,-999.0,3.4453001022,-999.0
-999.0,-999.0,-999.0,3.6171998978,-999.0
-999.0,-999.0,-999.0,3.847700119,-999.0
-999.0,-999.0,-999.0,4.8632998466,-999.0
-999.0,-999.0,-999.0,5.0430002213,-999.0
-999.0,-999.0,-999.0,5.5313000679,-999.0
-999.0,-999.0,-999.0,5.5819997787,-999.0
-999.0,-999.0,-999.0,5.2266001701,-999.0
-999.0,-999.0,-999.0,6.4766001701,-999.0
-999.0,-999.0,-999.0,7.9727005959,-999.0
-999.0,-999.0,-999.0,7.472700119,-999.0
-999.0,-999.0,-999.0,6.8438000679,-999.0
-999.0,-999.0,-999.0,6.589799881,-999.0
-999.0,-999.0,-999.0,7.0585999489,-999.0
-999.0,-999.0,-999.0,8.3046998978,-999.0
-999.0,-999.0,-999.0,8.6796998978,-999.0
-999.0,-999.0,-999.0,9.6796998978,-999.0
-999.0,-999.0,-999.0,9.8671998978,-999.0
-999.0,-999.0,-999.0,9.6093997955,-999.0
-999.0,-999.0,-999.0,10.726599693,-999.0
-999.0,-999.0,-999.0,9.9687995911,-999.0
-999.0,-999.0,-999.0,5.9569997787,-999.0
-999.0,-999.0,-999.0,4.6914000511,-999.0
-999.0,-999.0,-999.0,5.7382998466,-999.0
-999.0,-999.0,-999.0,4.785200119,-999.0
-999.0,-999.0,-999.0,4.0507998466,-999.0
-999.0,-999.0,-999.0,3.5938000679,-999.0
